instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,d_temp,d_atemp,d_hum,d_windspeed,casual,registered,cnt
1,01-01-2011,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,8.175849,7.99925,80.5833,10.749882,331,654,985
2,02-01-2011,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,9.083466,7.346774,69.6087,16.652113,131,670,801
3,03-01-2011,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1.229108,-3.49927,43.7273,16.636703,120,1229,1349
4,04-01-2011,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,1.4,-1.999948,59.0435,10.739832,108,1454,1562
5,05-01-2011,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,2.666979,-0.86818,43.6957,12.5223,82,1518,1600
6,06-01-2011,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1.604356,-0.608206,51.8261,6.0008684,88,1518,1606
7,07-01-2011,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1.236534,-2.216626,49.8696,11.304642,148,1362,1510
8,08-01-2011,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,-0.245,-5.291236,53.5833,17.875868,68,891,959
9,09-01-2011,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,-1.498349,-8.33245,43.4167,24.25065,54,768,822
10,10-01-2011,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,-0.910849,-6.041392,48.2917,14.958889,41,1280,1321
11,11-01-2011,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,-0.052723,-3.363376,68.6364,8.182844,43,1220,1263
12,12-01-2011,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,0.118169,-5.408782,59.9545,20.410009,25,1137,1162
13,13-01-2011,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,-0.245,-6.041722,47.0417,20.167,38,1368,1406
14,14-01-2011,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,-0.43911,-3.564742,53.7826,8.478716,54,1367,1421
15,15-01-2011,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,2.966651,0.375392,49.875,10.583521,222,1026,1248
16,16-01-2011,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,2.888349,-0.541678,48.375,12.625011,251,953,1204
17,17-01-2011,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,0.264151,-4.333114,53.75,12.999139,117,883,1000
18,18-01-2011,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,2.183349,-0.666022,86.1667,9.833925,9,674,683
19,19-01-2011,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,5.732178,3.695852,74.1739,13.957239,78,1572,1650
20,20-01-2011,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,4.298349,0.8333,53.8333,13.125568,83,1844,1927
21,21-01-2011,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,0.3425,-5.583022,45.7083,23.667214,75,1468,1543
22,22-01-2011,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,-5.2208712,-10.7814064,40,11.52199,93,888,981
23,23-01-2011,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,-3.4634801,-9.4766194,43.6522,16.5222,150,836,986
24,24-01-2011,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,-3.4226089,-8.21662,49.1739,10.60811,86,1330,1416
25,25-01-2011,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,2.503466,-0.521284,61.6957,8.696332,186,1799,1985
26,26-01-2011,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,2.2225,-2.5624,86.25,19.68795,34,472,506
